dorsal,nombre,equipo,nacionalidad
1,Tadej Pogačar,UAE Team Emirates,Eslovenia
2,João Almeida,UAE Team Emirates,Portugal
3,Jhonatan Narváez,UAE Team Emirates,Ecuador
4,Nils Politt,UAE Team Emirates,Alemania
5,Pavel Sivakov,UAE Team Emirates,Francia
6,Marc Soler,UAE Team Emirates,España
7,Tim Wellens,UAE Team Emirates,Bélgica
8,Adam Yates,UAE Team Emirates,Reino Unido
11,Jonas Vingegaard,Visma-Lease a Bike,Dinamarca
12,Edoardo Affini,Visma-Lease a Bike,Italia
13,Tiesj Benoot,Visma-Lease a Bike,Bélgica
14,Victor Campenaerts,Visma-Lease a Bike,Bélgica
15,Matteo Jorgenson,Visma-Lease a Bike,Estados Unidos
16,Sepp Kuss,Visma-Lease a Bike,Estados Unidos
17,Wout van Aert,Visma-Lease a Bike,Bélgica
18,Simon Yates,Visma-Lease a Bike,Reino Unido
21,Remco Evenepoel,Soudal Quick-Step,Bélgica
22,Mattia Cattaneo,Soudal Quick-Step,Italia
23,Pascal Eenkhoorn,Soudal Quick-Step,Países Bajos
24,Tim Merlier,Soudal Quick-Step,Bélgica
25,Valentin Paret-Peintre,Soudal Quick-Step,Francia
26,Maximilian Schachmann,Soudal Quick-Step,Alemania
27,Bert Van Lerberghe,Soudal Quick-Step,Bélgica
28,Ilan Van Wilder,Soudal Quick-Step,Bélgica
31,Ben Healy,EF Education-EasyPost,Irlanda
32,Vincenzo Albanese,EF Education-EasyPost,Italia
33,Kasper Asgreen,EF Education-EasyPost,Dinamarca
34,Alex Baudin,EF Education-EasyPost,Francia
35,Neilson Powless,EF Education-EasyPost,Estados Unidos
36,Harry Sweeny,EF Education-EasyPost,Australia
37,Michael Valgren,EF Education-EasyPost,Dinamarca
38,Marijn van den Berg,EF Education-EasyPost,Países Bajos
41,Biniam Girmay,Intermarché-Wanty,Eritrea
42,Louis Barré,Intermarché-Wanty,Francia
43,Vito Braet,Intermarché-Wanty,Bélgica
44,Hugo Page,Intermarché-Wanty,Francia
45,Laurenz Rex,Intermarché-Wanty,Bélgica
46,Jonas Rutsch,Intermarché-Wanty,Alemania
47,Roel van Sintmaartensdijk,Intermarché-Wanty,Países Bajos
48,Georg Zimmermann,Intermarché-Wanty,Alemania
51,Santiago Buitrago,Bahrain Victorious,Colombia
52,Phil Bauhaus,Bahrain Victorious,Alemania
53,Kamil Gradek,Bahrain Victorious,Polonia
54,Jack Haig,Bahrain Victorious,Australia
55,Lenny Martinez,Bahrain Victorious,Francia
56,Matej Mohorič,Bahrain Victorious,Eslovenia
57,Robert Stannard,Bahrain Victorious,Australia
58,Fred Wright,Bahrain Victorious,Reino Unido
61,Geraint Thomas,INEOS Grenadiers,Reino Unido
62,Thymen Arensman,INEOS Grenadiers,Países Bajos
63,Tobias Foss,INEOS Grenadiers,Noruega
64,Filippo Ganna,INEOS Grenadiers,Italia
65,Axel Laurance,INEOS Grenadiers,Francia
66,Carlos Rodríguez,INEOS Grenadiers,España
67,Connor Swift,INEOS Grenadiers,Reino Unido
68,Samuel Watson,INEOS Grenadiers,Reino Unido
71,Primož Roglič,BORA-hansgrohe,Eslovenia
72,Florian Lipowitz,BORA-hansgrohe,Alemania
73,Jordi Meeus,BORA-hansgrohe,Bélgica
74,Gianni Moscon,BORA-hansgrohe,Italia
75,Laurence Pithie,BORA-hansgrohe,Nueva Zelanda
76,Mick van Dijke,BORA-hansgrohe,Países Bajos
77,Danny van Poppel,BORA-hansgrohe,Países Bajos
78,Aleksandr Vlasov,29,Red Bull–Bora–Hansgrohe
81,Jonathan Milan,Lidl-Trek,Italia
82,Simone Consonni,Lidl-Trek,Italia
83,Thibau Nys,Lidl-Trek,Bélgica
84,Quinn Simmons,Lidl-Trek,Estados Unidos
85,Mattias Skjelmose,Lidl-Trek,Dinamarca
86,Toms Skujiņš,Lidl-Trek,Letonia
87,Jasper Stuyven,Lidl-Trek,Bélgica
88,Edward Theuns,Lidl-Trek,Bélgica
91,Guillaume Martin,Groupama-FDJ,Francia
92,Lewis Askey,Groupama-FDJ,Reino Unido
93,Cyril Barthe,Groupama-FDJ,Francia
94,Romain Grégoire,Groupama-FDJ,Francia
95,Valentin Madouas,Groupama-FDJ,Francia
96,Quentin Pacher,Groupama-FDJ,Francia
97,Paul Penhoët,Groupama-FDJ,Francia
98,Clément Russo,Groupama-FDJ,Francia
101,Jasper Philipsen,Alpecin-Deceuninck,Bélgica
102,Silvan Dillier,Alpecin-Deceuninck,Suiza
103,Kaden Groves,Alpecin-Deceuninck,Australia
104,Xandro Meurisse,Alpecin-Deceuninck,Bélgica
105,Jonas Rickaert,Alpecin-Deceuninck,Bélgica
106,Mathieu van der Poel,Alpecin-Deceuninck,Países Bajos
107,Gianni Vermeersch,Alpecin-Deceuninck,Bélgica
108,Emiel Verstrynge,Alpecin-Deceuninck,Bélgica
111,Julian Alaphilippe,Tudor Pro Cycling Team,Francia
112,Alberto Dainese,Tudor Pro Cycling Team,Italia
113,Marco Haller,Tudor Pro Cycling Team,Austria
114,Marc Hirschi,Tudor Pro Cycling Team,Suiza
115,Fabian Lienhard,Tudor Pro Cycling Team,Suiza
116,Marius Mayrhofer,Tudor Pro Cycling Team,Alemania
117,Michael Storer,Tudor Pro Cycling Team,Australia
118,Matteo Trentin,Tudor Pro Cycling Team,Italia
121,Ben O'Connor,Jayco AlUla,Australia
122,Eddie Dunbar,Jayco AlUla,Irlanda
123,Luke Durbridge,Jayco AlUla,Australia
124,Dylan Groenewegen,Jayco AlUla,Países Bajos
125,Luka Mezgec,Jayco AlUla,Eslovenia
126,Luke Plapp,Jayco AlUla,Australia
127,Elmar Reinders,Jayco AlUla,Países Bajos
128,Mauro Schmid,Jayco AlUla,Suiza
131,Kévin Vauquelin,Arkéa-B&B Hotels,Francia
132,Amaury Capiot,Arkéa-B&B Hotels,Bélgica
133,Ewen Costiou,Arkéa-B&B Hotels,Francia
134,Arnaud Démare,Arkéa-B&B Hotels,Francia
135,Raúl García Pierna,Arkéa-B&B Hotels,España
136,Mathis Le Berre,Arkéa-B&B Hotels,Francia
137,Cristián Rodríguez,Arkéa-B&B Hotels,España
138,Clément Venturini,Arkéa-B&B Hotels,Francia
141,Enric Mas,Movistar Team,España
142,Will Barta,Movistar Team,Estados Unidos
143,Pablo Castrillo,Movistar Team,España
144,Nelson Oliveira,Movistar Team,Portugal
145,Iván García Cortina,Movistar Team,España
146,Gregor Mühlberger,Movistar Team,Austria
147,Iván Romeo,Movistar Team,España
148,Einer Rubio,Movistar Team,Colombia
151,Felix Gall,Decathlon AG2R,Austria
152,Bruno Armirail,Decathlon AG2R,Francia
153,Clément Berthet,Decathlon AG2R,Francia
154,Stefan Bissegger,Decathlon AG2R,Suiza
155,Oliver Naesen,Decathlon AG2R,Bélgica
156,Aurélien Paret-Peintre,Decathlon AG2R,Francia
157,Callum Scotson,Decathlon AG2R,Australia
158,Bastien Tronchon,Decathlon AG2R,Francia
161,Emanuel Buchmann,Cofidis,Alemania
162,Alex Aranburu,Cofidis,España
163,Bryan Coquard,Cofidis,Francia
164,Ion Izagirre,Cofidis,España
165,Alexis Renard,Cofidis,Francia
166,Dylan Teuns,Cofidis,Bélgica
167,Benjamin Thomas,Cofidis,Francia
168,Damien Touzé,Cofidis,Francia
171,Harold Tejada,XDS Astana Team,Colombia
172,Davide Ballerini,XDS Astana Team,Italia
173,Cees Bol,XDS Astana Team,Países Bajos
174,Clément Champoussin,XDS Astana Team,Francia
175,Yevgeniy Fedorov,XDS Astana Team,Kazajistán
176,Sergio Higuita,XDS Astana Team,Colombia
177,Mike Teunissen,XDS Astana Team,Países Bajos
178,Simone Velasco,XDS Astana Team,Italia
181,Steff Cras,TotalEnergies,Bélgica
182,Mathieu Burgaudeau,TotalEnergies,Francia
183,Alexandre Delettre,TotalEnergies,Francia
184,Thomas Gachignard,TotalEnergies,Francia
185,Emilien Jeannière,TotalEnergies,Francia
186,Jordan Jegat,TotalEnergies,Francia
187,Anthony Turgis,TotalEnergies,Francia
188,Mattéo Vercher,TotalEnergies,Francia
191,Oscar Onley,Picnic PostNL,Reino Unido
192,Warren Barguil,Picnic PostNL,Francia
193,Pavel Bittner,Picnic PostNL,Chequia
194,Sean Flynn,Picnic PostNL,Reino Unido
195,Tobias Lund Andresen,Picnic PostNL,Dinamarca
196,Niklas Märkl,Picnic PostNL,Alemania
197,Tim Naberman,Picnic PostNL,Países Bajos
198,Frank van den Broek,Picnic PostNL,Países Bajos
201,Michael Woods,Israel-Premier Tech,Canadá
202,Pascal Ackermann,Israel-Premier Tech,Alemania
203,Joseph Blackmore,Israel-Premier Tech,Reino Unido
204,Guillaume Boivin,Israel-Premier Tech,Canadá
205,Matis Louvel,Israel-Premier Tech,Francia
206,Alexey Lutsenko,Israel-Premier Tech,Kazajistán
207,Krists Neilands,Israel-Premier Tech,Letonia
208,Jake Stewart,Israel-Premier Tech,Reino Unido
211,Arnaud De Lie,Lotto,Bélgica
212,Jenno Berckmoes,Lotto,Bélgica
213,Jasper De Buyst,Lotto,Bélgica
214,Jarrad Drizners,Lotto,Australia
215,Sébastien Grignard,Lotto,Bélgica
216,Eduardo Sepúlveda,Lotto,Argentina
217,Lennert Van Eetvelt,Lotto,Bélgica
218,Brent Van Moer,Lotto,Bélgica
221,Tobias Halland Johannessen,Uno-X Mobility,Noruega
222,Jonas Abrahamsen,Uno-X Mobility,Noruega
223,Magnus Cort,Uno-X Mobility,Dinamarca
224,Stian Fredheim,Uno-X Mobility,Noruega
225,Markus Hoelgaard,Uno-X Mobility,Noruega
226,Anders Halland Johannessen,Uno-X Mobility,Noruega
227,Andreas Leknessund,Uno-X Mobility,Noruega
228,Søren Wærenskjold,Uno-X Mobility,Noruega
